Plot Title: 11009654,,,,,,,
#,"Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009654, SEN S/N: 11009654, LBL: DO)","Temp, °F (LGR S/N: 11009654, SEN S/N: 11009654, LBL: Temp)",Coupler Attached (LGR S/N: 11009654),Host Connected (LGR S/N: 11009654),Stopped (LGR S/N: 11009654),End Of File (LGR S/N: 11009654)
282,12/8/2019 11:30,14.42,36.86,2.7,,,
283,12/8/2019 12:00,14.47,36.97,2.761111111,,,
284,12/8/2019 12:30,14.52,36.9,2.722222222,,,
285,12/8/2019 13:00,14.52,36.97,2.761111111,,,
286,12/8/2019 13:30,14.64,36.93,2.738888889,,,
287,12/8/2019 14:00,14.75,37,2.777777778,,,
288,12/8/2019 14:30,14.84,37.04,2.8,,,
289,12/8/2019 15:00,14.85,37.08,2.822222222,,,
290,12/8/2019 15:30,14.92,37.11,2.838888889,,,
291,12/8/2019 16:00,14.95,37.11,2.838888889,,,
292,12/8/2019 16:30,14.96,37.15,2.861111111,,,
293,12/8/2019 17:00,14.99,37.18,2.877777778,,,
294,12/8/2019 17:30,15,37.18,2.877777778,,,
295,12/8/2019 18:00,15.03,37.15,2.861111111,,,
296,12/8/2019 18:30,15.08,37.08,2.822222222,,,
297,12/8/2019 19:00,15.07,37.04,2.8,,,
298,12/8/2019 19:30,15.02,37.11,2.838888889,,,
299,12/8/2019 20:00,14.97,37.11,2.838888889,,,
300,12/8/2019 20:30,14.84,37.11,2.838888889,,,
301,12/8/2019 21:00,14.91,37.15,2.861111111,,,
302,12/8/2019 21:30,14.87,37.11,2.838888889,,,
303,12/8/2019 22:00,14.82,37.11,2.838888889,,,
304,12/8/2019 22:30,14.84,37.11,2.838888889,,,
305,12/8/2019 23:00,14.9,37.11,2.838888889,,,
306,12/8/2019 23:30,14.9,37.15,2.861111111,,,
307,12/9/2019 0:00,14.96,37.18,2.877777778,,,
308,12/9/2019 0:30,15.07,37.15,2.861111111,,,
309,12/9/2019 1:00,15.05,37.18,2.877777778,,,
310,12/9/2019 1:30,15.14,37.18,2.877777778,,,
311,12/9/2019 2:00,15.13,37.18,2.877777778,,,
312,12/9/2019 2:30,15.11,37.22,2.9,,,
313,12/9/2019 3:00,15.13,37.26,2.922222222,,,
314,12/9/2019 3:30,15.21,37.22,2.9,,,
315,12/9/2019 4:00,15.28,37.26,2.922222222,,,
316,12/9/2019 4:30,15.27,37.22,2.9,,,
317,12/9/2019 5:00,15.32,37.22,2.9,,,
318,12/9/2019 5:30,15.31,37.22,2.9,,,
319,12/9/2019 6:00,15.29,37.18,2.877777778,,,
320,12/9/2019 6:30,15.26,37.15,2.861111111,,,
321,12/9/2019 7:00,15.31,37.15,2.861111111,,,
322,12/9/2019 7:30,15.18,37.15,2.861111111,,,
323,12/9/2019 8:00,14.96,37.15,2.861111111,,,
324,12/9/2019 8:30,14.8,37.18,2.877777778,,,
325,12/9/2019 9:00,14.88,37.11,2.838888889,,,
326,12/9/2019 9:30,14.87,37.04,2.8,,,
327,12/9/2019 10:00,14.87,37.04,2.8,,,
328,12/9/2019 10:30,14.86,37,2.777777778,,,
329,12/9/2019 11:00,14.84,36.97,2.761111111,,,
330,12/9/2019 11:30,14.86,36.97,2.761111111,,,
331,12/9/2019 12:00,14.82,36.9,2.722222222,,,
332,12/9/2019 12:30,14.8,36.82,2.677777778,,,
333,12/9/2019 13:00,14.84,36.86,2.7,,,
334,12/9/2019 13:30,14.82,36.86,2.7,,,
335,12/9/2019 14:00,14.79,36.82,2.677777778,,,
336,12/9/2019 14:30,14.72,36.79,2.661111111,,,
337,12/9/2019 15:00,14.66,36.75,2.638888889,,,
338,12/9/2019 15:30,14.63,36.64,2.577777778,,,
339,12/9/2019 16:00,14.6,36.61,2.561111111,,,
340,12/9/2019 16:30,14.57,36.61,2.561111111,,,
341,12/9/2019 17:00,14.55,36.57,2.538888889,,,
342,12/9/2019 17:30,14.51,36.54,2.522222222,,,
343,12/9/2019 18:00,14.45,36.46,2.477777778,,,
344,12/9/2019 18:30,14.45,36.46,2.477777778,,,
345,12/9/2019 19:00,14.42,36.46,2.477777778,,,
346,12/9/2019 19:30,14.42,36.43,2.461111111,,,
347,12/9/2019 20:00,14.36,36.46,2.477777778,,,
348,12/9/2019 20:30,14.45,36.39,2.438888889,,,
349,12/9/2019 21:00,14.52,36.39,2.438888889,,,
350,12/9/2019 21:30,14.54,36.39,2.438888889,,,
351,12/9/2019 22:00,14.52,36.43,2.461111111,,,
352,12/9/2019 22:30,14.59,36.39,2.438888889,,,
353,12/9/2019 23:00,14.58,36.39,2.438888889,,,
354,12/9/2019 23:30,14.6,36.39,2.438888889,,,
355,12/10/2019 0:00,14.58,36.36,2.422222222,,,
356,12/10/2019 0:30,14.62,36.36,2.422222222,,,
357,12/10/2019 1:00,14.47,36.32,2.4,,,
358,12/10/2019 1:30,14.5,36.25,2.361111111,,,
359,12/10/2019 2:00,14.52,36.28,2.377777778,,,
360,12/10/2019 2:30,14.49,36.28,2.377777778,,,
361,12/10/2019 3:00,14.51,36.28,2.377777778,,,
362,12/10/2019 3:30,14.46,36.25,2.361111111,,,
363,12/10/2019 4:00,14.49,36.21,2.338888889,,,
364,12/10/2019 4:30,14.5,36.21,2.338888889,,,
365,12/10/2019 5:00,14.51,36.21,2.338888889,,,
366,12/10/2019 5:30,14.45,36.18,2.322222222,,,
367,12/10/2019 6:00,14.44,36.14,2.3,,,
368,12/10/2019 6:30,14.41,36.1,2.277777778,,,
369,12/10/2019 7:00,14.39,36.1,2.277777778,,,
370,12/10/2019 7:30,14.31,36.21,2.338888889,,,
371,12/10/2019 8:00,14.18,36.14,2.3,,,
372,12/10/2019 8:30,13.98,36.18,2.322222222,,,
373,12/10/2019 9:00,13.93,36.1,2.277777778,,,
374,12/10/2019 9:30,13.87,36,2.222222222,,,
375,12/10/2019 10:00,13.76,35.78,2.1,,,
376,12/10/2019 10:30,13.71,35.74,2.077777778,,,
377,12/10/2019 11:00,13.66,35.71,2.061111111,,,
378,12/10/2019 11:30,13.59,35.49,1.938888889,,,
379,12/10/2019 12:00,13.57,35.38,1.877777778,,,
380,12/10/2019 12:30,13.53,35.31,1.838888889,,,
381,12/10/2019 13:00,13.49,35.17,1.761111111,,,
382,12/10/2019 13:30,13.48,35.02,1.677777778,,,
383,12/10/2019 14:00,13.47,35.02,1.677777778,,,
384,12/10/2019 14:30,13.46,34.99,1.661111111,,,
385,12/10/2019 15:00,13.44,34.95,1.638888889,,,
386,12/10/2019 15:30,13.44,34.84,1.577777778,,,
387,12/10/2019 16:00,13.41,34.92,1.622222222,,,
388,12/10/2019 16:30,13.38,34.92,1.622222222,,,
389,12/10/2019 17:00,13.34,34.84,1.577777778,,,
390,12/10/2019 17:30,13.33,34.88,1.6,,,
391,12/10/2019 18:00,13.32,34.81,1.561111111,,,
392,12/10/2019 18:30,13.31,34.84,1.577777778,,,
393,12/10/2019 19:00,13.23,34.84,1.577777778,,,
394,12/10/2019 19:30,13.16,34.88,1.6,,,
395,12/10/2019 20:00,13.17,34.88,1.6,,,
396,12/10/2019 20:30,13.21,34.81,1.561111111,,,
397,12/10/2019 21:00,13.15,34.77,1.538888889,,,
398,12/10/2019 21:30,13.16,34.7,1.5,,,
399,12/10/2019 22:00,13.21,34.66,1.477777778,,,
400,12/10/2019 22:30,13.24,34.63,1.461111111,,,
401,12/10/2019 23:00,13.28,34.56,1.422222222,,,
402,12/10/2019 23:30,13.26,34.48,1.377777778,,,
403,12/11/2019 0:00,13.2,34.41,1.338888889,,,
404,12/11/2019 0:30,13.15,34.3,1.277777778,,,
405,12/11/2019 1:00,13.05,34.3,1.277777778,,,
406,12/11/2019 1:30,12.98,34.2,1.222222222,,,
407,12/11/2019 2:00,12.93,34.12,1.177777778,,,
408,12/11/2019 2:30,12.85,34.05,1.138888889,,,
409,12/11/2019 3:00,12.8,33.98,1.1,,,
410,12/11/2019 3:30,12.8,33.87,1.038888889,,,
411,12/11/2019 4:00,12.79,33.91,1.061111111,,,
412,12/11/2019 4:30,12.73,34.12,1.177777778,,,
413,12/11/2019 5:00,12.6,34.23,1.238888889,,,
414,12/11/2019 5:30,12.62,34.2,1.222222222,,,
415,12/11/2019 6:00,13.03,34.05,1.138888889,,,
416,12/11/2019 6:30,12.99,34.09,1.161111111,,,
417,12/11/2019 7:00,12.98,34.09,1.161111111,,,
418,12/11/2019 7:30,13.06,34.16,1.2,,,
419,12/11/2019 8:00,13.1,34.2,1.222222222,,,
420,12/11/2019 8:30,13.36,34.2,1.222222222,,,
421,12/11/2019 9:00,13.84,34.16,1.2,,,
422,12/11/2019 9:30,13.85,34.16,1.2,,,
423,12/11/2019 10:00,14.03,34.09,1.161111111,,,
424,12/11/2019 10:30,13.64,33.94,1.077777778,,,
425,12/11/2019 11:00,13.48,33.87,1.038888889,,,
426,12/11/2019 11:30,13.41,33.91,1.061111111,,,
427,12/11/2019 12:00,13.33,33.91,1.061111111,,,
428,12/11/2019 12:30,13,33.87,1.038888889,,,
429,12/11/2019 13:00,12.98,33.76,0.977777778,,,
430,12/11/2019 13:30,12.94,33.76,0.977777778,,,
431,12/11/2019 14:00,13.18,33.69,0.938888889,,,
432,12/11/2019 14:30,13.16,33.69,0.938888889,,,
433,12/11/2019 15:00,13.37,33.76,0.977777778,,,
434,12/11/2019 15:30,13.54,33.66,0.922222222,,,
435,12/11/2019 16:00,13.3,33.51,0.838888889,,,
436,12/11/2019 16:30,13.31,33.48,0.822222222,,,
437,12/11/2019 17:00,12.95,33.62,0.9,,,
438,12/11/2019 17:30,12.86,33.69,0.938888889,,,
439,12/11/2019 18:00,12.68,33.73,0.961111111,,,
440,12/11/2019 18:30,12.6,33.8,1,,,
441,12/11/2019 19:00,12.5,33.76,0.977777778,,,
442,12/11/2019 19:30,12.55,33.76,0.977777778,,,
443,12/11/2019 20:00,12.56,33.73,0.961111111,,,
444,12/11/2019 20:30,12.79,33.69,0.938888889,,,
445,12/11/2019 21:00,13.3,33.62,0.9,,,
446,12/11/2019 21:30,13.49,33.58,0.877777778,,,
447,12/11/2019 22:00,13.38,33.55,0.861111111,,,
448,12/11/2019 22:30,13.11,33.48,0.822222222,,,
